"Sentences","Annotation","Legend"
"Conclusion and few remarks: I have not done a single evidence search nor posted any additional evidence in this debate, and for good reason.",0,
"Finally, have the best of luck in your future arguments.",0,
"Final message: It has been a long time since this debate started, and it has been a good long time debating with you, I hope you have the best of luck in future debates and wish you a Happy New Year!",0,
"So, have the best of luck in future debates.",0,
"Thank you, and best of luck.",0,
"I look forward to the debate and best of luck to my opponent.",0,
"Best of luck to him in voting and all his future debates.",0,
"I wish Pro the best of luck in responding for this round.",0,
"Best of luck to ya Kohai.",0,
"The evolution vs. creationism debate is a good one, but evolution vs Christianity?",1,
"Best of luck to Con in the coming rounds, and happy debating.",0,
"this doesn't really seem to be much to teh essence of the debate, but it's good debate form I suppose to bring up points that are too off for good argument.",0,
"Ok, Im sorry that you feel you cant finish this debate but Its been a good one and I thank you for giving me this chance to debate with you.",0,
"They will forever say the same kinds of things my opponent is saying in this debate and it won't do them any good.",0,
"The best of luck to you in whatever you choose to do in the future, Frost [1] .",0,
"I am looking forward to listening to what my opponent has to say and wish him/her the best of luck!",0,
"In this debate, ""Good"" means morally correct and ""Bad"" means morally incorrect.",1,
"Pro, best of luck to you, sir.",0,
"Best of luck Con.",0,
"Best of luck and take care.",0,
"much more to come in second round, best of luck, pro :) (1).",0,
"I would like to re-debate this topic later if I am forfeiting this debate, as it has been a good debate so far and would love the challenge.",0,
"For lack of more space, I think it is time that I ended this phase of the argument and wished my opponent the best of luck.",0,
"Best of luck to you in the future.",0,
"Best of luck in the final round.",0,
"Best of luck, and I welcome the possibility to change my mind on the issue.",0,
"***********************************************************The best of luck to my opponent.",0,
"Once again this debate was very enjoyable and best of luck to you and Ill see you around :)",0,
"Vote V, and the best of luck to my opponent.",0,
"Thanks again and best of luck M8!",0,
"Well you have failed miserably to address any of my points and rather then address them you spent this time calling me a troll and justifying your said trolling the one true troll I Rest my case, YOU HAVE LOST THE DEBATE Good day sir",0,
"So yeah, best of luck to whoever accepts.",0,
"In Rounds 2 through 4, we shall debate over how good the policies are, with the ultimate goal being fairness, although what standards we use for fairness what factors we decide to include will be up for debate, as is to be expected.",0,
"Best of luck, Pro.",0,
"Please note that I am not trying to take anything away from Eddie Van Halen in this debate, as he is a very good guitarist that has an effect on my personal playing style.",1,
"Note: Even though this topic is violent in nature, I have nothing against my opponent and all comments made in this debate are in good-humour.",0,
"If you do manage to find said theory, then the debate is as good as over, and you have as good as won.",0,
"I wish my adversary the best of luck!",0,
"(I don't know how to post individual pictures onto the debate so here is a good website that shows some of my examples listed above plus more. )",0,
"Best of Luck, CQ",0,
"You had very good points which were hard for me to debate but, this was good.",0,
"This is only my third debate on the site, but this has been my favorite by far, thanks for the experience and best of luck in the voting phase!",0,
"I do not know if this subject in the debate is a good thing or bad thing because it has the potential to be a bad thing, so my opponent can't use this as an argument because this can be a good or a bad thing depending on the student using the Internet.",0,
"I hope the readers enjoy, and I wish bossyburrito (from now Gabriel or Gabby) the best of luck.",0,
"I wish Gabby once more, the best of luck.",0,
"I wish the con the best of luck in their 3rd round, and I eagerly await their response.",0,
"______________________________________________________________________________________{""Best of luck to my opponent also.",0,
"Best of luck to my opponent also.",0,
"Best of luck with your essay!",0,
"I accepted this debate for a good discussion, unfortunately my expectations have not been met.",0,
"Best of luck against my Opponent, I will enjoy reading what he has to say against my argument.",0,
"I wish Pro the best of luck.",0,
"I'm looking forward to your arguments lee001:) best of luck.",0,
"I wish the Con best of luck for the debate!",0,
"Best of luck to you, good sir!",0,
"Thanks for the debate, good luckk",0,
"Set forth your contention, best of luck.",0,
"Now before I go into this, you must realize again that in this particular debate, ""good"" and ""bad"" are very loosely defined.",0,
"As for sources, please refer to our lyrical content, which will be posted conveniently in R4 I'd also like to wish my amusing and talented girlfriend the best of luck.",0,
"I wish the opposition the best of luck.",0,
"Hi, best of luck with the debate.",0,
"Best of luck in voting and may the best arguments win.",0,
"It was a great job by them and I wish him/her the best of luck.",0,
"This is the end, adieu to you all, Best luck to my opponent at being a garbage man next fall.",0,
"Round 1: AcceptanceRound 2: ArgumentsRound 3: RebuttalsRound 4: Counter rebuttals Best of luck to you.",0,
".. For the people viewing this debate, here is a good one!",0,
"Thank you for starting this debate, and best of luck.",0,
"This debate is about the good beauty pageants cause versus the harm they cause.",0,
"Hello Thomas and thank you for posting your first debate on this site â€“ the very best of luck to you in this and any future debates.",0,
"I look forward to an interesting final rebuttal :) [1] .",0,
"I wish my opponent the best of luck, look forward to my opponentâ€™s rebuttals and the rest of this debate, thank you!",0,
"and does not require proof This is an arts debate -and not philosophy or logic - and thus should be discussed from a literature perspective Con did not see or understand This and carried on as if it was a philosophy or logic debate I thank you",1,
"I have shown why, at every point in the debate, why my opponentâ€™s arguments are either irrelevant, or can be met with a convincing counter-argument I thank Pro for this debate, and I thank anyone who read it :)",0,
"I await my opponent's final round, and ask him to follow proper debate procedure, and not post new arguments in the final round.1 - .",0,
"No rules could simply mean that he had no additional rules for the debate or guidelines such as ""no new arguments in the final round"" or it could mean, as someone pointed out in the comments, that it can just be a nonsense debate.",0,
"Established point 2: The 99 names of Allah My opponent introduced new arguments in his final round by establishing that one of the 99 names of Allah means â€œPeaceâ€.",0,
"Reason #1: You canâ€™t give new arguments in the final round.",0,
"Structure: Round 1 - Opening Statements from Pro Round 2 - Rebuttals from Con, Defense from Pro Round 3 - Opening Statements from Con, Rebuttals from Pro Round 4 - Defense from Con, Pro Must Waive Rules: 1) No hate speech/ slander 2) No kritkiks 3) No plagiarism 4) No new arguments in final round 5) Please use citations 6) No forfeiture 7) No trolls 8) BoP is shared Voting Rules: 1) Vote Convincing Arguments 2) Only vote conduct if plagiarism, forfeiture, and/or slander is present 3) Only vote spelling and grammar if it's so poor it detracts from the arguments at hand Thank you Citation [1].",0,
"I return this debate to my opponent; good luck!",0,
"To my opponent: Good luck and thank you for accepting this challenge.",0,
"==Rebuttal== Topic My opponent does a good job of trying to define me out of the debate round.",0,
"This means that my second point goes virtually unrefuted, and the poor responses put against it have been refuted, This is the final nail in the coffin for my opponent because if good and bad are subjective, then there isn't an objective sense under which the movie can ""suck"", thus making it impossible to prove that it does.",0,
"My opponent has the very good arguement, in fact i agree with what he has posted, in fact most crab species are smaller than Lobster pecies, but i also did research on Crabs at wikipedia.",1,
"Not only that, but here is what my opponent stated: ""My opponent has the very good arguement, in fact i agree with what he has posted, in fact most crab species are smaller than Lobster pecies .",1,
"My opponent has been a good debater compared to who I've faced on here and the amount of forfeits I've seen.",0,
"Congratulations to my opponent for a good debate.",0,
"I gladly look forward to my opponent and good luck to you.",0,
"Thanks to my opponent for a good debate - I would look forward to debating you again any time.",0,
"Unfortunately, my opponent has not been doing good deeds, at least as far as we on DDO can know.",0,
"So for my opponent's own good, I won't be accepting that argument, only the one in the debate.",0,
"I congratulate my opponent on good debates so far, and I look forward to the progression of the debate.",0,
"Thank you, and thanks to my opponent for a good debate.",0,
"Even though my opponent was good, you should still vote for ME!",0,
"In the first round, I said: ""My first contention is that my opponent has no good reasons to claim God is unjust.",0,
"So, for the remainder of the debate, it is presumed that my opponent has no good reasons to claim God is unjust.",0,
"I congratulate my opponent on good arguments and excellent vocabulary and near perfect spelling.",0,
"My apologies to my opponent and good luck in fixing my opponent's computer.",0,
"If my opponent does not have a good taste for it then that is his subjective view.",0,
"Thanks to my opponent for the good debate, and finishing.",0,
"I realize voting will be hard given that there will probably be no sources, or arguments; so i wish the voters and my opponent good luck.",0,
"Maybe my opponent is just good at making his point concise. """,0,
"wishing my opponent good luck.",0,
"What we have here seems to be a case where my opponent does not have a good response and seems to be rejecting my argument to technicality because he has no response to it otherwise.",0,
"My opponent does a good job of showing how other sports can be more dangerous than DDR.",0,
"This round will be in LD Format, therefore there must be Framework- Value Structure or Burden Contentions Claims Warrants and Impacts I'm looking forward to a good opponent and a good round, I really need someone who understands exactly what LD and how to debate LD.",0,
"But wait, my opponent has a good point.",0,
"Thanks to my opponent for his good sportsmanship.",0,
"I want to think my opponent for a good debate.",0,
"con has indeed gave him self quite the task I say sorry to my opponent for not having good grammar, not that kind of guy from my understanding of our economics they forgot one key ingredient.",0,
"First, my opponent has no good response to the argument that under his view of these passages, the Bible must be interpreted to mean that all Christians are in violation of the Bible's strictures by failing to keep kosher.",1,
"I will go more into detail after I see if my opponent has a good reason for debating other than it is his freedom to do so.",0,
"ConclusionI believe my opponent is a good person.",0,
"This is proving to be a more difficult debate, so I am glad my opponent is a good debater.",0,
"My opponent did a good job on this debate and I respect his effort.",0,
"I wish my opponent good luck.",0,
"Thank you everyone for reading, and I wish my opponent good luck on his last round!",0,
"The burden of proof is shared, and I would like to wish my opponent good luck!",0,
"I wish my opponent good lucky.",0,
"I wish my opponent good luck and we shall see what the outcome is.",0,
"I wish my opponent good luck, and eagerly await his opening arguments in the next round.",0,
"I wish my opponent good luck and good fun!",0,
"That's all I have for now, I wish my Opponent a good debate and I understand this is a sensitive issue so I really do not want anyone to take offense.",0,
"I wish my opponent good luck, and I am anticipating my opponent's opening argument.",0,
"These two voters are the main reasons why I should win this debate despite many other(Lack of understanding, Horrid Definitions that do not suit what we are talking about, etc) I would again, like to apologize for the foul language in my Case(Sorry Just trying to prove a point) I wish my opponent a good stay here at debate.",0,
"Thank you all for reading, and I wish my opponent a good debate.",0,
"I wish my opponent a good final round.",0,
"Thanks and I wish my opponent good luck for the debate.",0,
"I wish my opponent good luck on his rebuttal.",0,
"I wish my opponent good luck and hope we have a good debate.",0,
"I would also like to describe zombies as more of cannibalistic numb people not super powered freaks they can heal but slowly they can only be killed by starving or destroying the brain animals can not be infected but can be attacked and the zombies have no thinking or reasoning power and they can not evolve you must be infected by getting zombie blood or saliva in your system not airborne I wish my opponent good debate.",1,
"The debate is clearly easy to determine who has won, and I wish my opponent ""Good Luck"" for any future debates.",0,
"I wish my opponent good luck in the next round.",0,
"I wish my opponent very good luck and look forward to starting this debate.",0,
"I wish my opponent good luck and happy debating.",0,
"Before I begin, I wish my opponent good luck and ask that all the voters base your vote on who did the better debating, not who you agree with.",0,
"I accept and wish my opponent a good debate.",0,
"I accept the challenge and wish my opponent good luck!",0,
"I wish my opponent good luck and look forward to a good debate.",0,
"I wish my opponent good luck and I'd ask that if I am doing this wrong someone please comment and tell me.",0,
"I wish my opponent very good luck and look forward to a fun and spirited discussion!",0,
"I would like to wish my opponent good luck in this debate.",0,
"Conclusion I wish my opponent good luck!",0,
"That is my take on this team and would like to wish my opponent good luck in this debate.",0,
"I wish my opponent good luck and a fruitful debate.",0,
"I wish my opponent very good luck and look forward to reading his continued case.",0,
"As this is the final round, I would like to wish my opponent good luck.",0,
"I wish my opponent good luck in the last round and i hope that you have learned from this experience as much as i did.",0,
"I wish my opponent luck and hope for an enjoyable debate.",0,
"I thank the readers for following, and wish my opponent luck in the voting period!",0,
"I wish my opponent better fortune and more time in his future debates.",0,
"I wish my opponent luck, and i apologize, for i have not debated in a long while!",0,
"First off, I wish my opponent has posted within the allotted time slot, I was really looking forward to continuing this debate.",0,
"I wish my opponent luck and hope all viewers enjoy the following debate.",0,
"I wish my opponent would not insult my intelligence before I get a chance to respond.",0,
"I wish my opponent luck in the voting round and in future debates.",0,
"I wish my opponent luck in his defenses.",0,
"I wish for my opponent to be challenging so that we will both enjoy this debate.",0,
"Conduct: By ending his speech with ""wish my opponent better luck next time.",0,
"Thank you judges for voting for me and I wish my opponent better luck next time.",0,
"I would like to take this opportunity to wish my opponent luck, and I look forward to an enjoyable debate.",0,
"I wish my opponent luck in his next round.",0,
"I wish my opponent luck, and look forward to his response.",0,
"I wish my opponent thanks and good luck!",0,
"I wish my opponent strength in argument for both of our sakes.",0,
"I wish my opponent would use an argument which he supported, rather than what may possibly happen in the future but he disagrees with.",0,
"I wish my opponent all the best in this debate.",0,
"I wish my opponent all the best in his future debates!",0,
"I also want to wish my opponent a great deal of fun as we tackle a several thousand year old debate on semantics!",0,
"I wish my opponent luck in the voting period but urge voters pro as con has not provided any logically valid arguments.",0,
"I wish my opponent well in this debate and hope he has a great time on debate.",0,
"I would also like to wish my opponent luck.",0,
"I wish my opponent luck and await his response.",0,
"I wish my opponent luck and hope to have a good debate.",0,
"I wish my opponent, whoever it may be, good luck.",0,
"I wish my opponent luck and look forward to his first speech/case.",0,
"I wish my opponent well in all his future endeavors.",0,
"I wish my opponent luck and look forward to his/her response.",0,
"I wish my opponent luck in his last round.",0,
"I shall halt this exhibition of prate, And wish my opponent luck in further debate.",0,
"I wish my opponent all the best for the next round.",0,
"I wish for the opponent and I to stay focused on the teachings of creationism in school by choice of the teacher.",0,
"My apologies for posting my argument late, however now I shall wish my opponent luck in his next round.",0,
"And then my opponent brought up the Sandy Hook Shooter had impaired mental disability, as this is completely true, I wish for my opponent to provide another piece of evidence that EXPLICITLY SAYS that due to the shooters lack of judgement, seperating from the real world from the virtual world, caused the atrocity that day.",1,
"I wish my opponent to specifically back up how SSM are dangerous while civil unions are not.",0,
"I wish my opponent did his own side, as that would make things remarkably simpler.",0,
"I wish my opponent all the best and hope she is well.",0,
"All voters (if any) should vote this a tie, I wish my opponent luck when he reinstates this debate.",0,
"I wish my opponent luck into this next round and the remainder of the debate.",0,
"I wish my opponent luck with their arguments.",0,
"I have explained my topic almost completely, and wish my opponent would put up an argument defending his faith.",0,
"That being said, I wish my opponent would have messaged me to clear up this potential confusion beforehand.",0,
"BTW, my opponent has the BoP: and I greatly wish my opponent goodluck.",0,
"Conclusion: I have made my point pretty clear, religion is necessary today because of the points and opinions I have stated above, I wish my opponent luck in the debate and in the next round and would like to apologize for the delayed response this round.",0,
"That should be everything, so I wish my opponent luck.",0,
"Anways, with all of that said, I wish my opponent, good luck.",0,
"All I will do this round is extend my previous arguments and wish my opponent luck on any serious personal issues she may be facing.",0,
"-=Opening Statements=- I simply wish my opponent good luck, and may the best debater win!",0,
"With that, I respectfully rest my rebuttal, and wish my opponent good luck in future debates!",0,
"(Firstly, Before I begin, I would like to wish my opponent luck in the following debate, and also to make it known that the following is not my personal opinion, I have accepted this debate because i would like to hone my arguing skills, I fully support my opponent in is sexual beliefs, and don't let anyone tell you who you can and can not love. )",0,
"In any case, I wish my opponent good luck - he'll surely need it.",0,
"I wish my opponent luck and, above all, to have fun.",0,
"I wish my opponent luck and look forward to his next post!",0,
"I wish my opponent luck in the last round and i'll see ya soon!",0,
"I wish my opponent luck and hope for an enjoyable debate.",0,
"Thanks and I wish my opponent good luck for the debate.",0,
"I look forward to a rational and well thought out debate and wish my opponent the best of luck.",0,
"That said, I wish my opponent all the best of luck, and thank the audience for taking the time to read this.",0,
"I wish my opponent the best of luck and a great day!",0,
"I look forward to the next round and wish my opponent the best of luck.",0,
"Once again I wish my opponent best of luck and look forward to seeing her rebuttal.",0,
"I wish my opponent the best of luck for the following arguments.",0,
"I wish my opponent the best of luck, and look forward to his initial argument.",0,
"I wish my opponent best of luck and commend him for taking Con on this topic xD1.",0,
"Anyway, I wish my opponent the best of luck.",0,
"I wish my opponent the best of luck and may the trolliest troll win.",0,
"I wish my opponent the best of luck in this venture.",0,
"I wish my opponent the best of luck on this debate.",0,
"I wish myself and my opponent the best of luck and am eager to see the outcome of this debate.",0,
"With these definitions clarified, I wish my opponent the best of luck.",0,
"I would like to wish my opponent the best of luck in the rest of his debating career and thoroughly hope that he will stay on DDO so I can keep in touch with him.",0,
"I wish my opponent the best of luck in trying to refute my, and his own, arguments.",0,
"I accept, and wish my opponent the best of luck.",0,
"I am BillBonJovi and I wish my opponent the best of luck.",0,
"I wish my opponent the best of luck and look forward to an esteemed debate!",0,
"I wish my opponent the best of luck, and look forward to reading his first argument.",0,
"I also assume my opponent is talking about American public school as when one looks at his profile it says he is from the U. S. I would also like to wish my opponent the best of luck on his first debate.",1,
"I wish my opponent TheSpoonyRealist best of luck in this beginner's debate!",0,
"I wish my opponent the best of luck, and hope we can have a fun, thought-provoking, debate :) Back to you, Ron-paul.",0,
"I wish my opponent the best of luck and thanks for this debate.",0,
"I look forward to interesting rebuttals.",0,
"I thank Pro for the opportunity to debate this topic, and look forward to an interesting discussion.",0,
"I look forward to an interesting, if brief, debate.",0,
"I look forward to an interesting and fruitful debate with MasturDbtor.",0,
"I accept and look forward to an interesting and informative debate.",0,
"With that, I look forward to an interesting and intellectually stimulating debate.",0,
"I would like to wish my opponent the best of luck, and look forward to an interesting and fruitful discussion.",0,
"I accept, and look forward to an interesting philosophical and scientific discussion.",0,
"Thanks to my opponent, and I look forward to an interesting and enlightening debate!",0,
"Either way, I look forward to an interesting discussion.",0,
"I look forward to an interesting discussion with you on the Theory of Evolution.",0,
"I look forward to an interesting and productive debate.",0,
"I look forward to having an interesting, yet provocative, discussion on this issue which is becoming increasingly important.",0,
"This is my First posting and look forward to interesting and enlightening times on this site.",0,
"I look forward to an interesting time.",0,
"I look forward to an interesting and useful discussion.",0,
"Best of luck to my opponent, I look forward to an interesting, spirited debate.",0,
"Thanks again, Mirza, and I look forward to a very interesting and informative debate!",0,
"Thank you for your time, I look forward to an interesting and hopefully vigorous debate on this topic.",0,
"I look forward to an interesting exchange of ideas.",0,
"I look forward to an interesting and cordial debate.",0,
"I'm happy to be debating headphonegut again and look forward to an interesting exchange of ideas.",0,
"I look forward to my opponent's response and again look forward to an interesting exchange of ideas.",0,
"I look forward to interesting and intriguing rebuttals.",0,
"I don't have a huge amount of knowledge in economics so if you spot a mistake please, please tell me I'm the comments, but otherwise I look forward to an interesting, factual and respectful debate.",0,
"I look forward to an interesting and well-contested debate.",0,
"I look forward to an interesting conversation.",0,
"I look forward to an interesting and thought provoking debate.",0,
"I look forward to an interesting and unique debate!",0,
"I look forward to an interesting and fun debate.",0,
"I look forward to an interesting and challenging debate with a very worthy opponent.",0,
"I accept, and look forward to an interesting and engaging debate.",0,
"I look forward to an interesting battle, tim, and good luck!",0,
"I accept and look forward to an interesting discussion.",0,
"I thank the Pro for a wonderful debate and I thank all the voters for reading :D",0,
"Now I am done this debate and I thank anyone who reads this entire thing.",0,
"I appreciated the debate and thank you for this civil exchange!",0,
"I wish the best of luck to Pro in this debate and thank the audience, I now return the floor to Pro.",0,
"Thanks to him for the debate, and thank you to anyone who decides to judge it.",0,
"Hello Pro, Thank you for being my interlocutor in this debate and thank you for posting your objections to my opening statement.",0,
"Thank you, PRO, for providing this debate, and thank you to any voters.",0,
"Thank you for the debate and thank you for VOTING KLEPTIN.",0,
"They dontI thank the Pro for a fun debate and I thank the voters for reading.",0,
"All I can say was that this was a fun debate and I thank you for debating it with me.",0,
"I take this as a two round debate so thank you for this uncommon debate, It was enjoyable.",0,
"I accept the terms and rules of this debate, and thank Dpowell for the opportunity to discuss this topic.",0,
"Thus I end my input for this debate Thank You all.",0,
"Violation of any of these rules or of any of the R1 set-up merits a loss of a conduct point and due to the severity of the breach may merit an entire forfeit of the debate Thank you and good luck.",0,
"If you decide to debate me, I thank you and hope to hear your ideas soon.",0,
"I accept these conditions (as I did with the previous debate) I do thank you for the clarification on the second round.",0,
"F*CK ALL OF YAI thank the Pro again for a great debate and I thank the voters for reading :)",0,
"Choice is yours nowI thank the Con for a splendid debate and thank all of the voters for reading :D",0,
"This was a good debate, I thank my opponent for his time and invite him to a session of peace and meditation.",0,
"So from this i urge a Pro vote on todays debate thank you.",0,
"Thank you for coming to tonight's debate, and thank you for reading and considering our arguments.",0,
"I thank the con for a wonderful debate and I thank the voters for reading :D",0,
"This has been an interesting and enjoyable debate for me; I thank Pro for the opportunity.",0,
".. the opponent agrees Thus, today, I urge a strong vote on the negation of this debate Thank you.",0,
"I have enjoyed this debate, and thank you for your participation, but I do assert that I have most certainly won, and I encourage anyone who votes on this debate to recognize this and vote for me.",0,
"That is all for this round, I look forward to this debate and thank whoever accepts it.",0,
"For anyone who takes the time to read our debate, thank you for your time!",0,
"So begins the debate, thank you Rune for the subject and thank you readers for viewing my points.",0,
"This is my first debate, and i thank you for presenting this opportunity for me to put you down!",0,
"To start, I wanted to apologize once again for taking so long to provide my rebuttals for this debate, and I thank the Con for his patience.",0,
"If you would like to debate this resolution, either PM me or leave a comment on this debate, thank you.",0,
"I thank Peepette for doing my 100th debate with me, and thank him for the topic, and the debate.",0,
"Kind regards for the Debate, thank you for your votes, WAM",0,
"BAM ERECTION AND FULL ON OOZING OF REPRODUCTIVE SLIME INTO YOUR UNDERPANTS TRIGGERING SUDDEN AWAKENING FROM THE DREAM YOU WERE HAVING WHERE YOU WAKE UP IN HORROR REALIZING YOUR THIRD TESTICLE JUST MADE YOU SUB CONSCIOUSLY MASTURBATE TO THE UGLY WHITE GIRL FROM THE GRUDGEI thank the Con for a great debate, I thank any voters who actually read this, I hope you got a good laugh out of it :)",0,
